name,price,url
A Light in the ...,,catalogue/a-light-in-the-attic_1000/index.html
Tipping the Velvet,,catalogue/tipping-the-velvet_999/index.html
Soumission,,catalogue/soumission_998/index.html
Sharp Objects,,catalogue/sharp-objects_997/index.html
Sapiens: A Brief History ...,,catalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,,catalogue/the-requiem-red_995/index.html
The Dirty Little Secrets ...,,catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
The Coming Woman: A ...,,catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the ...,,catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,,catalogue/the-black-maria_991/index.html
Starving Hearts (Triangular Trade ...,,catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,,catalogue/shakespeares-sonnets_989/index.html
Set Me Free,,catalogue/set-me-free_988/index.html
Scott Pilgrim's Precious Little ...,,catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Rip it Up and ...,,catalogue/rip-it-up-and-start-again_986/index.html
Our Band Could Be ...,,catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,,catalogue/olio_984/index.html
Mesaerion: The Best Science ...,,catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,,catalogue/libertarianism-for-beginners_982/index.html
It's Only the Himalayas,,catalogue/its-only-the-himalayas_981/index.html
In Her Wake,,in-her-wake_980/index.html
How Music Works,,how-music-works_979/index.html
Foolproof Preserving: A Guide ...,,foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Chase Me (Paris Nights ...,,chase-me-paris-nights-2_977/index.html
Black Dust,,black-dust_976/index.html
Birdsong: A Story in ...,,birdsong-a-story-in-pictures_975/index.html
America's Cradle of Quarterbacks: ...,,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Aladdin and His Wonderful ...,,aladdin-and-his-wonderful-lamp_973/index.html
Worlds Elsewhere: Journeys Around ...,,worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
Wall and Piece,,wall-and-piece_971/index.html
The Four Agreements: A ...,,the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Five Love Languages: ...,,the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
The Elephant Tree,,the-elephant-tree_968/index.html
The Bear and the ...,,the-bear-and-the-piano_967/index.html
Sophie's World,,sophies-world_966/index.html
Penny Maybe,,penny-maybe_965/index.html
Maude (1883-1993):She Grew Up ...,,maude-1883-1993she-grew-up-with-the-country_964/index.html
